handoff_id,well_id,from_engineer,to_engineer,timestamp,open_items,doc_time_min,narrative_length
TH-001,WELL-015,ENG-005,ENG-017,2024-03-22T22:05:58Z,0,17,490
TH-002,WELL-005,ENG-024,ENG-023,2024-03-27T11:05:22Z,7,40,190
TH-003,WELL-015,ENG-019,ENG-008,2024-02-09T02:18:18Z,4,35,254
TH-004,WELL-011,ENG-001,ENG-005,2024-05-02T09:55:22Z,11,37,1001
TH-005,WELL-016,ENG-024,ENG-019,2024-04-25T16:48:48Z,11,45,745
TH-006,WELL-002,ENG-016,ENG-013,2024-04-04T09:23:40Z,8,41,624
TH-007,WELL-002,ENG-017,ENG-001,2024-03-22T22:41:01Z,9,30,280
TH-008,WELL-009,ENG-021,ENG-014,2024-06-21T15:41:43Z,7,17,1163
TH-009,WELL-020,ENG-021,ENG-012,2024-03-28T01:20:51Z,11,37,192
TH-010,WELL-006,ENG-010,ENG-025,2024-02-07T07:43:22Z,7,32,1047
TH-011,WELL-008,ENG-017,ENG-008,2024-04-24T02:41:17Z,10,31,1109
TH-012,WELL-005,ENG-010,ENG-025,2024-05-18T03:17:42Z,6,36,887
TH-013,WELL-016,ENG-006,ENG-021,2024-02-10T05:39:43Z,4,15,1138
TH-014,WELL-005,ENG-006,ENG-008,2024-01-31T08:28:35Z,9,41,356
TH-015,WELL-014,ENG-016,ENG-010,2024-02-15T13:52:09Z,3,45,246
TH-016,WELL-001,ENG-012,ENG-009,2024-03-10T07:56:42Z,10,20,507
TH-017,WELL-017,ENG-002,ENG-004,2024-03-06T13:57:28Z,6,17,614
TH-018,WELL-004,ENG-018,ENG-008,2024-04-04T10:37:35Z,4,31,877
TH-019,WELL-002,ENG-025,ENG-018,2024-02-21T22:35:58Z,2,42,363
TH-020,WELL-002,ENG-015,ENG-016,2024-06-12T10:07:34Z,12,17,366
TH-021,WELL-020,ENG-020,ENG-004,2024-06-08T22:18:06Z,8,12,1188
TH-022,WELL-004,ENG-006,ENG-022,2024-01-23T22:11:47Z,3,33,471
TH-023,WELL-010,ENG-023,ENG-015,2024-05-27T23:00:46Z,8,41,353
TH-024,WELL-005,ENG-021,ENG-012,2024-03-05T23:23:02Z,2,17,563
TH-025,WELL-015,ENG-014,ENG-001,2024-02-17T15:15:20Z,12,40,849
TH-026,WELL-010,ENG-017,ENG-006,2024-01-17T13:13:06Z,4,33,999
TH-027,WELL-012,ENG-021,ENG-023,2024-02-17T15:53:09Z,2,43,1013
TH-028,WELL-008,ENG-005,ENG-015,2024-03-21T06:37:39Z,6,39,890
TH-029,WELL-001,ENG-015,ENG-005,2024-05-29T13:10:04Z,0,43,292
TH-030,WELL-003,ENG-011,ENG-012,2024-03-18T23:49:43Z,12,20,1038
TH-031,WELL-002,ENG-013,ENG-002,2024-05-08T04:38:38Z,10,19,268
TH-032,WELL-017,ENG-010,ENG-015,2024-03-19T01:28:08Z,10,45,773
TH-033,WELL-011,ENG-012,ENG-001,2024-06-09T14:06:57Z,4,43,450
TH-034,WELL-013,ENG-015,ENG-022,2024-02-09T19:59:30Z,8,38,857
TH-035,WELL-013,ENG-025,ENG-007,2024-06-20T01:38:22Z,4,15,225
TH-036,WELL-018,ENG-011,ENG-014,2024-05-20T19:12:17Z,11,18,731
TH-037,WELL-007,ENG-003,ENG-018,2024-04-17T03:30:30Z,4,73,1497
TH-038,WELL-006,ENG-001,ENG-002,2024-06-21T21:11:19Z,12,44,679
TH-039,WELL-008,ENG-025,ENG-010,2024-05-21T01:46:42Z,6,42,376
TH-040,WELL-002,ENG-012,ENG-009,2024-05-01T17:58:58Z,8,32,403
TH-041,WELL-002,ENG-025,ENG-021,2024-01-25T05:22:34Z,7,29,160
TH-042,WELL-015,ENG-011,ENG-008,2024-06-05T09:22:41Z,11,44,628
TH-043,WELL-012,ENG-010,ENG-011,2024-05-09T12:05:00Z,12,18,923
TH-044,WELL-017,ENG-024,ENG-008,2024-01-21T10:23:34Z,5,43,544
TH-045,WELL-012,ENG-015,ENG-004,2024-01-29T10:59:15Z,11,37,993
TH-046,WELL-003,ENG-003,ENG-002,2024-03-23T12:06:56Z,2,70,1239
TH-047,WELL-015,ENG-003,ENG-013,2024-05-11T10:13:16Z,8,65,2004
TH-048,WELL-018,ENG-017,ENG-013,2024-06-18T07:53:00Z,4,41,1017
TH-049,WELL-015,ENG-023,ENG-016,2024-05-22T02:02:53Z,6,20,445
TH-050,WELL-017,ENG-005,ENG-017,2024-05-18T02:12:06Z,7,18,391
